id,retweet_count,user_favourites_count,user_listed_count,user_friends_count,user_statuses_count,favorite_count
2,0,0,6,2,9344,0
2,0,0,4,2,20008,0
2,2,133,0,302,35808,0
2,0,0,0,0,27,0
2,0,3242,1,136,1907,0
2,0,29,556,0,858581,0
2,0,1083,475,768,52078,0
2,0,0,4,2,20008,0
2,0,0,4,2,20008,0
2,0,1112,0,170,2097,1
2,0,735,16,611,1368,0
2,0,0,4,2,20008,0
2,0,8,6,1221,28274,0
2,0,0,68,40,432410,0
2,0,0,4,2,20008,0
2,0,0,4,2,20008,0
2,20,757,86,509,739,0
2,0,0,4,2,20008,0
2,0,516,243,8609,287726,0
2,0,6,9,71,113199,0
2,0,0,3,13,159878,0
2,0,0,15,36,152837,0
2,0,0,11,1516,2374,0
2,0,5,2,799,6674,0
2,0,0,4,2,20008,0
2,0,6108,78,1315,39970,0
2,0,14963,261,91,23144,2
2,0,2269,0,151,12745,3
2,0,241,40,13624,6849,0
2,0,0,165,3,163626,1
2,0,1745,5,4980,17015,0
2,0,0,4,2,20008,0
2,0,235,5,90,88638,0
2,0,859,0,67,268,0
2,1,14963,261,91,23144,3
2,1,944,4,1961,771,0
2,0,42,88,185,9667,0
2,0,0,4,2,20008,0
2,1,242,648,766,155137,0
2,0,0,4,2,20008,0
2,0,1223,4,1478,4593,0
2,0,1,7,7,29030,0
2,0,0,4,2,20008,0
2,0,0,102,39,72099,0
2,0,0,161,0,342996,0
2,0,0,42,1,25759,0
2,0,0,4,2,20008,0
2,0,0,25,19,37811,0
2,0,13919,1,575,41813,0
2,0,0,4,2,20008,0
2,0,0,4,2,20008,0
2,0,0,4,2,20008,0
2,0,123,3,156,3797,0
2,0,0,25,19,37811,0
2,1,10638,3,901,14287,0
2,0,5334,35,317,17390,0
2,0,0,4,2,20008,0
2,0,0,4,2,20008,0
2,0,0,4,2,20008,0
2,0,219,626,230,30264,0
2,0,0,15,0,3321,0
2,0,0,4,31,699,0
2,1,37609,5,1003,14961,1
2,0,14376,10,2133,16139,3
2,0,0,40,0,25356,0
2,0,0,19,0,19155,0
2,0,0,132,36,12818,0
2,0,601,24,442,9124,0
2,0,6250,26,397,13062,0
2,0,601,24,442,9124,0
2,4,13040,12,305,5041,0
2,4,2187,0,3942,6604,0
2,4,610,3,253,211,0
2,4,8141,14,129,4298,0
2,0,0,3,13,159878,0
2,4,1164,1,279,631,8
2,0,601,24,442,9124,0
2,0,0,102,39,72099,0
2,0,0,139,6,621297,0
2,0,55,40,850,86184,0
2,0,601,24,442,9124,0
2,0,601,24,442,9124,0
2,0,42,88,185,9667,0
2,1,51,2,309,5907,2
2,0,29,5,139,1009,0
2,0,0,183,8,1035365,0
2,0,6,9,71,113199,0
2,0,0,137,10,731062,0
2,0,0,7,14,118385,0
2,0,0,183,8,1035365,0
2,0,0,3,13,159878,0
2,0,0,823,0,514545,0
2,0,42,88,185,9667,0
2,0,601,24,442,9124,1
2,0,0,180,6,396914,0
2,0,0,3,10,106161,0
2,1,214,39,753,1213,0
2,0,126,0,80,52,0
2,1,1130,33,4744,1378,1
2,0,0,6,10,242091,0
2,0,0,19,11,38206,0
2,0,0,161,0,354010,0
2,0,0,7,14,118385,0
2,0,0,82,10,506243,0
2,1,30,0,48,181,0
2,0,177383,40,679,1510,2
2,0,93,816,2821,43085,0
2,1,1048,929,344,29701,2
2,0,0,7,14,118385,0
2,1,421,7,625,745,0
2,0,55,40,850,86184,0
2,0,6,9,71,113199,0
2,0,0,82,10,506243,0
2,0,0,3,13,159878,0
2,0,0,117,56,394551,0
2,0,0,15,36,152837,0
2,0,144,156,80,7315,2
2,0,0,823,0,514545,0
2,16,3157,64,858,6206,0
2,0,0,139,6,621297,0
2,0,42,88,185,9667,0
2,0,0,161,0,342996,0
2,0,0,15,36,152837,0
2,0,0,198,11,1147113,0
2,0,6,9,71,113199,0
2,0,0,3,13,159878,0
